scenario_id,variant,response_relevance,context_utilization,token_efficiency,memory_hit_rate,user_satisfaction_proxy
s01_pref_same_session,with_mem,1.0000,0.1164,12.0370,0.5000,1.0000
s01_pref_same_session,no_mem,0.7500,0.0000,11.1111,0.0000,0.8500
s02_pref_cross_session,with_mem,0.6667,0.1395,7.3979,0.3333,0.8000
s02_pref_cross_session,no_mem,0.5000,0.0000,7.7387,0.0000,0.7000
s03_pref_contradiction,with_mem,1.0000,0.1013,13.6501,0.3333,1.0000
s03_pref_contradiction,no_mem,0.6667,0.0000,11.3027,0.0000,0.8000
s04_fact_profile,with_mem,1.0000,0.0772,11.5298,0.3333,1.0000
s04_fact_profile,no_mem,0.6667,0.0000,9.1657,0.0000,0.8000
s05_fact_technical,with_mem,1.0000,0.1802,13.0386,0.5000,1.0000
s05_fact_technical,no_mem,0.5000,0.0000,7.9365,0.0000,0.7000
s06_episodic_adaptation,with_mem,0.5000,0.2907,3.4722,0.5000,0.7000
s06_episodic_adaptation,no_mem,0.0000,0.0000,0.0000,0.0000,0.4000
s07_ambiguous_multi,with_mem,0.6667,0.0000,9.4315,0.0000,0.8000
s07_ambiguous_multi,no_mem,0.6667,0.0000,9.4315,0.0000,0.8000
s08_precision,with_mem,1.0000,0.0000,16.6667,0.0000,1.0000
s08_precision,no_mem,1.0000,0.0000,16.6667,0.0000,1.0000
s09_long_trim,with_mem,1.0000,0.0119,7.4371,0.1000,1.0000
s09_long_trim,no_mem,0.9000,0.0000,7.0403,0.0000,0.9400
s10_cold_start,with_mem,1.0000,0.0000,13.4598,0.0000,1.0000
s10_cold_start,no_mem,1.0000,0.0000,13.4598,0.0000,1.0000
